date,season,team,home/visitor,opponent,score,opponentScore,moneyLine,opponentMoneyLine,total,spread,secondHalfTotal
2007-10-30,2008,Utah,@,Golden State,117,96,100,-120,212,1,105.5
2007-10-30,2008,LA Lakers,vs,Houston,93,95,190,-230,199,5,99
2007-10-30,2008,Houston,@,LA Lakers,95,93,-230,190,199,-5,99
2007-10-30,2008,San Antonio,vs,Portland,106,97,-1400,900,189.5,-13,95
2007-10-30,2008,Portland,@,San Antonio,97,106,900,-1400,189.5,13,95
2007-10-30,2008,Golden State,vs,Utah,96,117,-120,100,212,-1,105.5
2007-10-31,2008,New Jersey,vs,Chicago,112,103,-125,105,186,-1.5,94
2007-10-31,2008,Dallas,@,Cleveland,92,74,-140,120,184,-2.5,91.5
2007-10-31,2008,Cleveland,vs,Dallas,74,92,120,-140,184,2.5,91.5
2007-10-31,2008,Seattle,@,Denver,103,120,625,-825,217.5,11.5,107.5
2007-10-31,2008,Washington,@,Indiana,110,119,-125,105,203.5,-1.5,105
2007-10-31,2008,San Antonio,@,Memphis,104,101,-250,210,201,-6.5,99.5
2007-10-31,2008,Orlando,vs,Milwaukee,102,83,-295,245,197,-6.5,97
2007-10-31,2008,Chicago,@,New Jersey,103,112,105,-125,186,1.5,94
2007-10-31,2008,Sacramento,@,New Orleans,90,104,425,-525,190.5,9.5,94
2007-10-31,2008,Milwaukee,@,Orlando,83,102,245,-295,197,6.5,97
2007-10-31,2008,Toronto,vs,Philadelphia,106,97,-305,255,191,-6.5,96.5
2007-10-31,2008,New Orleans,vs,Sacramento,104,90,-525,425,190.5,-9.5,94
2007-10-31,2008,Memphis,vs,San Antonio,101,104,210,-250,201,6.5,99.5
2007-10-31,2008,Denver,vs,Seattle,120,103,-825,625,217.5,-11.5,107.5
2007-10-31,2008,Philadelphia,@,Toronto,97,106,255,-305,191,6.5,96.5
2007-10-31,2008,Indiana,vs,Washington,119,110,105,-125,203.5,1.5,105
2007-11-01,2008,Miami,vs,Detroit,80,91,160,-190,178.5,4,89.5
2007-11-01,2008,Utah,vs,Houston,95,106,-160,140,193,-3,98.5
2007-11-01,2008,Detroit,@,Miami,91,80,-190,160,178.5,-4,89.5
2007-11-01,2008,Seattle,vs,Phoenix,99,106,575,-725,224.5,12,112.5
2007-11-01,2008,Phoenix,@,Seattle,106,99,-725,575,224.5,-12,112.5
2007-11-01,2008,Houston,@,Utah,106,95,140,-160,193,3,98.5
2007-11-02,2008,Dallas,@,Atlanta,94,101,-250,210,191,-5.5,94.5
2007-11-02,2008,Washington,@,Boston,83,103,285,-335,205.5,7.5,105
2007-11-02,2008,Milwaukee,@,Charlotte,99,102,150,-170,196.5,4,96.5
2007-11-02,2008,Philadelphia,@,Chicago,96,85,400,-500,190,9.5,94
2007-11-02,2008,New York,@,Cleveland,106,110,210,-250,186,6,94
2007-11-02,2008,Atlanta,vs,Dallas,101,94,210,-250,191,5.5,94.5
2007-11-02,2008,Minnesota,vs,Denver,91,99,315,-375,208.5,7.5,104
2007-11-02,2008,Orlando,vs,Detroit,92,116,-170,150,183.5,-4,93.5
2007-11-02,2008,LA Clippers,vs,Golden State,120,114,-125,105,211,-1.5,104.5
2007-11-02,2008,Miami,@,Indiana,85,87,235,-275,192,6.5,96.5
2007-11-02,2008,Golden State,@,LA Clippers,114,120,105,-125,211,1.5,104.5
2007-11-02,2008,Phoenix,vs,LA Lakers,98,119,-435,365,215.5,-8,107.5
2007-11-02,2008,Indiana,vs,Miami,87,85,-275,235,192,-6.5,96.5
2007-11-02,2008,Charlotte,vs,Milwaukee,102,99,-170,150,196.5,-4,96.5
2007-11-02,2008,Denver,@,Minnesota,99,91,-375,315,208.5,-7.5,104
2007-11-02,2008,Toronto,@,New Jersey,106,69,155,-175,193.5,4,96
2007-11-02,2008,Portland,@,New Orleans,93,113,275,-325,203,7.5,102.5
2007-11-02,2008,Cleveland,vs,New York,110,106,-250,210,186,-6,94
2007-11-02,2008,Detroit,@,Orlando,116,92,150,-170,183.5,4,93.5
2007-11-02,2008,Chicago,vs,Philadelphia,85,96,-500,400,190,-9.5,94
2007-11-02,2008,LA Lakers,@,Phoenix,119,98,365,-435,215.5,8,107.5
2007-11-02,2008,New Orleans,vs,Portland,113,93,-325,275,203,-7.5,102.5
2007-11-02,2008,San Antonio,vs,Sacramento,96,80,-2000,1200,191,-14.5,92.5
2007-11-02,2008,Sacramento,@,San Antonio,80,96,1200,-2000,191,14.5,92.5
2007-11-02,2008,New Jersey,vs,Toronto,69,106,-175,155,193.5,-4,96
2007-11-02,2008,Boston,vs,Washington,103,83,-335,285,205.5,-7.5,105
2007-11-03,2008,Milwaukee,vs,Chicago,78,72,155,-175,193,4,95
2007-11-03,2008,Sacramento,@,Dallas,102,123,1500,-3000,189,15.5,93
2007-11-03,2008,Utah,vs,Golden State,133,110,-550,425,215.5,-9.5,105.5
2007-11-03,2008,Portland,@,Houston,80,89,700,-1000,203,11.5,100.5
2007-11-03,2008,Memphis,vs,Indiana,111,121,-220,180,211.5,-5.5,107
2007-11-03,2008,Indiana,@,Memphis,121,111,180,-220,211.5,5.5,107
2007-11-03,2008,Chicago,@,Milwaukee,72,78,-175,155,193,-4,95
2007-11-03,2008,Philadelphia,vs,New Jersey,88,93,130,-150,186.5,3,94.5
2007-11-03,2008,Washington,vs,Orlando,82,94,-130,110,197.5,-1,100.5
2007-11-03,2008,New Jersey,@,Philadelphia,93,88,-150,130,186.5,-3,94.5
2007-11-03,2008,Houston,vs,Portland,89,80,-1000,700,203,-11.5,100.5
2007-11-03,2008,Dallas,vs,Sacramento,123,102,-3000,1500,189,-15.5,93
2007-11-03,2008,Golden State,@,Utah,110,133,425,-550,215.5,9.5,105.5
2007-11-03,2008,Orlando,@,Washington,94,82,110,-130,197.5,1,100.5
2007-11-04,2008,Detroit,vs,Atlanta,92,91,-350,290,191,-8,97
2007-11-04,2008,Toronto,vs,Boston,95,98,-125,105,194,-1.5,95.5
